BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
VillaGuadalupe,3.0,5.0,7.0,4.0,7.0,13.0,17.0,10.0,11.0,13.0,6.0,13.0,14.0,12.0,9.0,13.0,17.0,16.0,20.0,19.0,17.0,16.0,13.0,6.0
VillaHermosa,7.0,11.0,9.0,9.0,9.0,9.0,26.0,29.0,20.0,16.0,19.0,20.0,27.0,21.0,20.0,14.0,16.0,25.0,27.0,28.0,30.0,20.0,16.0,15.0
VillaLiliam,0.0,2.0,2.0,2.0,1.0,2.0,6.0,7.0,3.0,4.0,7.0,9.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,6.0,2.0,3.0,2.0
VillaLilliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
VillaNiza,2.0,7.0,4.0,4.0,3.0,4.0,6.0,7.0,6.0,6.0,6.0,8.0,5.0,4.0,9.0,3.0,12.0,7.0,6.0,5.0,6.0,3.0,9.0,4.0
VillaNueva,22.0,41.0,38.0,36.0,46.0,70.0,133.0,178.0,135.0,119.0,141.0,142.0,173.0,115.0,111.0,138.0,130.0,144.0,128.0,109.0,88.0,56.0,44.0,23.0
VillaTurbay,1.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0
VilladelSocorro,3.0,7.0,8.0,5.0,7.0,17.0,19.0,17.0,16.0,14.0,21.0,18.0,24.0,13.0,17.0,24.0,14.0,18.0,23.0,15.0,19.0,13.0,7.0,5.0
Villatina,8.0,6.0,7.0,8.0,8.0,11.0,23.0,18.0,15.0,10.0,19.0,14.0,23.0,27.0,15.0,13.0,19.0,22.0,16.0,27.0,19.0,19.0,12.0,12.0
Yolombo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ÁreadeExpansionAltosdeCalasanz,1.0,2.0,1.0,1.0,1.0,2.0,9.0,8.0,7.0,7.0,3.0,3.0,4.0,1.0,4.0,2.0,7.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0
ÁreadeExpansionPajarito,5.0,9.0,9.0,4.0,9.0,29.0,59.0,49.0,40.0,21.0,27.0,30.0,40.0,25.0,25.0,29.0,32.0,30.0,24.0,35.0,33.0,24.0,19.0,10.0
ÁreadeExpansionSanAntoniodePrado,1.0,0.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,2.0
